book_id,author,book_title,book_wiki_url,count,adaptations,isbn,oclc,valid_identifier,metadata_updated,number_of_pages,subject_places,subjects,publish_date,publish_places,goodreads,gc_title,gc_language_code,gc_average_rating,gc_format,gc_ratings_count,gc_text_reviews_count,title,gc_authors
b_9780385007511_848489,Stephen King,'Salem's Lot,https://en.wikipedia.org/wiki/%27Salem%27s_Lot,0,[],9780385007511,848489,True,True,427.0,"['Maine', 'U.S.A.', ""Jerusalem's Lot"", 'Marsten House', 'Austria', 'Mexico']","['Catholic Church', 'arson', 'Great Depression', 'hitmen', 'Internet Archive Wishlist', 'Fiction in English', 'Horror fiction', 'City and town life', 'Cuentos de terror', 'Fiction', 'Large type books', 'Vampires', 'Accessible book', 'In library', 'Protected DAISY', 'Adapted for Television', 'horror tales']",1976,['New York'],1589604,Salem's Lot,en-US,4.01,Hardcover,443,65,'salem's Lot,
b_0684819066_38377745,,A Beautiful Mind_(book),https://en.wikipedia.org/wiki/A Beautiful Mind_(book),1,['A Beautiful Mind'],0684819066,38377745,True,True,459.0,['United States'],"['Mathematicians', 'Biography']",1998,['New York'],,,,,,,,A beautiful mind,
b_0434098000_4205836,Anthony Burgess,A Clockwork Orange (novel),https://en.wikipedia.org/wiki/A_Clockwork_Orange_(novel),0,[],0434098000,4205836,True,True,195.0,"['England', 'Korova Milk Bar']","['Internet Archive Wishlist', 'bible', 'aversion therapy', 'unintended consequences', ""Beethoven's Fifth Symphony"", 'gang rape', 'psychiatric hospitals', 'maturity', 'metanoia', 'assault', 'joyriding', 'rape', 'metafiction', 'orgasm', 'novella', 'antisocial personality disorde', 'classical music', 'black comedy', 'argot', 'Nadsat', 'dystopias', 'satire', 'literature', 'Juvenile delinquents', 'Science fiction', 'Rehabilitation', 'Fiction', 'Protected DAISY', 'Accessible book', 'In library', 'Teenage boys', 'Criminals', 'Sátira', 'Muchachos adolescentes', 'Criticism and interpretation', 'Criminales', 'English Authors', 'Large type books', 'Open Library Staff Picks', 'Violence', 'Slang language', 'Gangs', 'Ciencia-ficción', 'Social conditions', 'Ficción', 'Behavior modification', 'Long Now Manual for Civilizati', 'Juvenile delinquency', 'Brainwashing']",1962,['London'],101194,A Clockwork Orange,eng,3.99,Hardcover,142,17,A clockwork orange,
b_0434098000_4205836,Anthony Burgess,A Clockwork Orange_(novel),https://en.wikipedia.org/wiki/A Clockwork Orange_(novel),1,['A Clockwork Orange'],0434098000,4205836,True,True,195.0,"['England', 'Korova Milk Bar']","['Internet Archive Wishlist', 'bible', 'aversion therapy', 'unintended consequences', ""Beethoven's Fifth Symphony"", 'gang rape', 'psychiatric hospitals', 'maturity', 'metanoia', 'assault', 'joyriding', 'rape', 'metafiction', 'orgasm', 'novella', 'antisocial personality disorde', 'classical music', 'black comedy', 'argot', 'Nadsat', 'dystopias', 'satire', 'literature', 'Juvenile delinquents', 'Science fiction', 'Rehabilitation', 'Fiction', 'Protected DAISY', 'Accessible book', 'In library', 'Teenage boys', 'Criminals', 'Sátira', 'Muchachos adolescentes', 'Criticism and interpretation', 'Criminales', 'English Authors', 'Large type books', 'Open Library Staff Picks', 'Violence', 'Slang language', 'Gangs', 'Ciencia-ficción', 'Social conditions', 'Ficción', 'Behavior modification', 'Long Now Manual for Civilizati', 'Juvenile delinquency', 'Brainwashing']",1962,['London'],101194,A Clockwork Orange,eng,3.99,Hardcover,142,17,A clockwork orange,
b_0064433390_30559641,William Joyce,A Day with Wilbur Robinson,https://en.wikipedia.org/wiki/A_Day_with_Wilbur_Robinson,0,[],0064433390,30559641,True,True,32.0,,"['In library', 'Humorous stories']","September 30, 1993",,566625,A Day with Wilbur Robinson,,4.03,Paperback,647,81,A Day with Wilbur Robinson,
b_0091290708_3606842,Ruth Rendell,A Judgement in Stone,https://en.wikipedia.org/wiki/A_Judgement_in_Stone,0,[],0091290708,3606842,True,True,190.0,,"['Detective and mystery stories', 'OverDrive', 'Fiction', 'Mystery', 'Accessible book', 'Protected DAISY', 'In library']",1977,['London'],908712,,,,,,,A judgement in stone,
b_9781406311525_754586643,Patrick Ness,A Monster Calls,https://en.wikipedia.org/wiki/A_Monster_Calls,0,[],9781406311525,754586643,True,False,,,,,,,,,,,,,,
b_0385729537_46401727,Britney Spears,A Mother's Gift,https://en.wikipedia.org/wiki/A_Mother%27s_Gift,0,[],0385729537,46401727,True,True,226.0,"['Mississippi', 'United States']","['In library', 'Juvenile fiction', 'Fiction', 'Singers', 'Protected DAISY', 'Schools', 'Mothers and daughters', 'Singing']",2001,['New York'],1071760,A Mother's Gift,,3.16,Hardcover,561,49,A mother's gift,"OrderedDict([('author', [OrderedDict([('id', '228521'), ('name', 'Britney Spears'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1515790783p5/228521.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1515790783p2/228521.jpg')])), ('link', 'https://www.goodreads.com/author/show/228521.Britney_Spears'), ('average_rating', '3.52'), ('ratings_count', '1024'), ('text_reviews_count', '86')]), OrderedDict([('id', '387136'), ('name', 'Lynne Spears'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1267718267p5/387136.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1267718267p2/387136.jpg')])), ('link', 'https://www.goodreads.com/author/show/387136.Lynne_Spears'), ('average_rating', '3.32'), ('ratings_count', '1713'), ('text_reviews_count', '219')])])])"
b_038550120_301832819,John Grisham,A Painted House,https://en.wikipedia.org/wiki/A_Painted_House,0,[],038550120,301832819,True,False,,,,,,,,,,,,,,
b__59352597,E. M. Forster,A Passage to India,https://en.wikipedia.org/wiki/A_Passage_to_India,0,[],,59352597,True,False,,,,,,,,,,,,,,
