movie_id,movie_title,book_title,imdb_no,usable,isbn,oclc,imdb_title,imdb_actors,imdb_writers,imdb_genres,imdb_year,imdb_rated,imdb_released,imdb_runtime,imdb_imdbrating,imdb_imdbvotes,metadata_updated,book_id,budget,gross_usa,cumulative_worldwide_gross,opening_weekend_usa
m_9780385007511_848489_tt0355987,'Salem's Lot (2004 TV miniseries),'Salem's Lot,tt0355987,True,9780385007511,848489,Salem's Lot,"['rob lowe', 'andre braugher', 'donald sutherland', 'samantha mathis']",['n/a'],"['drama', 'horror', 'mystery', 'thriller']",2004,TV-14,20 Jun 2004,181 min,6.2,"9,045",True,b_9780385007511_848489,25000000,,,
m__470015866_tt0048918,1984 (1956 film),Nineteen Eighty-Four,tt0048918,True,,470015866,1984,"[""edmond o'brien"", 'michael redgrave', 'jan sterling', 'david kossoff']","['george orwell', 'william templeton', 'ralph gilbert bettison']","['drama', 'sci-fi']",1956,Not Rated,01 Sep 1956,90 min,7.0,"2,779",True,b__470015866,,,,
m_0060250488__tt0202179,ABC Afterschool Special,Freaky Friday,tt0202179,True,0060250488,,ABC Afterschool Specials,"['lance kerwin', 'samaria graham', 'mara hobel', 'alexa kenin']",['guy fraumeni'],"['adventure', 'comedy', 'drama']",1972–1997,N/A,04 Oct 1972,60 min,6.9,611,True,b_0060250488_,,,,
m_0434098000_4205836_tt0066921,A Clockwork Orange (film),A Clockwork Orange (novel),tt0066921,True,0434098000,4205836,A Clockwork Orange,"['malcolm mcdowell', 'patrick magee', 'michael bates', 'warren clarke']","['stanley kubrick', 'anthony burgess']","['crime', 'drama', 'sci-fi']",1971,R,02 Feb 1972,136 min,8.3,"691,997",True,b_0434098000_4205836,2200000,26589355,,
m_0486440885__tt0061270,A Journey to the Center of the Earth (1993),Voyage au centre de la Terre,tt0061270,True,0486440885,,Journey to the Center of the Earth,"['ted knight', 'pat harrington jr.', 'jane webb']",['n/a'],"['animation', 'family', 'fantasy']",1967–1969,N/A,09 Sep 1967,30 min,7.8,67,True,b_0486440885_,,,,
m_0486440885__tt0061270,A Journey to the Center of the Earth (1999),Voyage au centre de la Terre,tt0061270,True,0486440885,,Journey to the Center of the Earth,"['ted knight', 'pat harrington jr.', 'jane webb']",['n/a'],"['animation', 'family', 'fantasy']",1967–1969,N/A,09 Sep 1967,30 min,7.8,67,True,b_0486440885_,,,,
m_9780385007511_848489_tt0093855,A Return to Salem's Lot,'Salem's Lot,tt0093855,True,9780385007511,848489,A Return to Salem's Lot,"['michael moriarty', 'ricky addison reed', 'samuel fuller', 'andrew duggan']","['stephen king', 'larry cohen', 'larry cohen', 'james dixon']","['comedy', 'horror', 'thriller']",1987,R,11 Sep 1987,101 min,4.3,"2,938",True,b_9780385007511_848489,12000000,,,
m__22421788_tt0290382,A Wrinkle in Time (2003 film),A Wrinkle in Time,tt0290382,True,,22421788,A Wrinkle in Time,"['katie stuart', 'gregory smith', 'david dorfman', 'chris potter']","['susan shilliday', ""madeleine l'engle""]","['family', 'fantasy', 'adventure', 'sci-fi']",2003,TV-PG,10 May 2004,251 min,5.7,"2,106",True,b__22421788,,,,
m__22421788_tt1620680,A Wrinkle in Time (2018 film),A Wrinkle in Time,tt1620680,True,,22421788,A Wrinkle in Time,"['storm reid', 'oprah winfrey', 'reese witherspoon', 'mindy kaling']","['jennifer lee', 'jeff stockwell', ""madeleine l'engle""]","['adventure', 'family', 'fantasy', 'sci-fi']",2018,PG,09 Mar 2018,109 min,4.2,"35,303",True,b__22421788,100000000,100478608,132675864,33123609
m__418497_tt0018618,Across to Singapore,All the Brothers Were Valiant (novel),tt0018618,True,,418497,Across to Singapore,"['ramon novarro', 'joan crawford', 'ernest torrence', 'frank currier']","['ben ames williams', 'ted shane', 'richard schayer', 'joseph farnham']","['drama', 'romance']",1928,PASSED,07 Apr 1928,85 min,7.3,821,True,b__418497,290000,,596000,
m__53071567_tt0857480,Adaptations of The Picture of Dorian Gray (1917),The Picture of Dorian Gray,tt0857480,True,,53071567,The Picture of Dorian Gray,"['john bailey', 'raymond barry', 'jeremy brett', 'paul cole']",['oscar wilde'],['drama'],1961,N/A,22 Jan 1961,60 min,N/A,N/A,True,b__53071567,,,,
m__53071567_tt0857480,Adaptations of The Picture of Dorian Gray (2001),The Picture of Dorian Gray,tt0857480,True,,53071567,The Picture of Dorian Gray,"['john bailey', 'raymond barry', 'jeremy brett', 'paul cole']",['oscar wilde'],['drama'],1961,N/A,22 Jan 1961,60 min,N/A,N/A,True,b__53071567,,,,
m__53071567_tt0857480,Adaptations of The Picture of Dorian Gray (2004),The Picture of Dorian Gray,tt0857480,True,,53071567,The Picture of Dorian Gray,"['john bailey', 'raymond barry', 'jeremy brett', 'paul cole']",['oscar wilde'],['drama'],1961,N/A,22 Jan 1961,60 min,N/A,N/A,True,b__53071567,,,,
m__53071567_tt0857480,Adaptations of The Picture of Dorian Gray (1910),The Picture of Dorian Gray,tt0857480,True,,53071567,The Picture of Dorian Gray,"['john bailey', 'raymond barry', 'jeremy brett', 'paul cole']",['oscar wilde'],['drama'],1961,N/A,22 Jan 1961,60 min,N/A,N/A,True,b__53071567,,,,
m__53071567_tt0857480,Adaptations of The Picture of Dorian Gray (1969),The Picture of Dorian Gray,tt0857480,True,,53071567,The Picture of Dorian Gray,"['john bailey', 'raymond barry', 'jeremy brett', 'paul cole']",['oscar wilde'],['drama'],1961,N/A,22 Jan 1961,60 min,N/A,N/A,True,b__53071567,,,,
m__53071567_tt0857480,Adaptations of The Picture of Dorian Gray (1977),The Picture of Dorian Gray,tt0857480,True,,53071567,The Picture of Dorian Gray,"['john bailey', 'raymond barry', 'jeremy brett', 'paul cole']",['oscar wilde'],['drama'],1961,N/A,22 Jan 1961,60 min,N/A,N/A,True,b__53071567,,,,
m__53071567_tt0857480,Adaptations of The Picture of Dorian Gray (2009),The Picture of Dorian Gray,tt0857480,True,,53071567,The Picture of Dorian Gray,"['john bailey', 'raymond barry', 'jeremy brett', 'paul cole']",['oscar wilde'],['drama'],1961,N/A,22 Jan 1961,60 min,N/A,N/A,True,b__53071567,,,,
m__53071567_tt0857480,Adaptations of The Picture of Dorian Gray (1913),The Picture of Dorian Gray,tt0857480,True,,53071567,The Picture of Dorian Gray,"['john bailey', 'raymond barry', 'jeremy brett', 'paul cole']",['oscar wilde'],['drama'],1961,N/A,22 Jan 1961,60 min,N/A,N/A,True,b__53071567,,,,
m__53071567_tt0857480,Adaptations of The Picture of Dorian Gray (1916),The Picture of Dorian Gray,tt0857480,True,,53071567,The Picture of Dorian Gray,"['john bailey', 'raymond barry', 'jeremy brett', 'paul cole']",['oscar wilde'],['drama'],1961,N/A,22 Jan 1961,60 min,N/A,N/A,True,b__53071567,,,,
